Slant,Baseline,Pressure,LetterSpacing,WordSpacing,XHeight,LoopOpen,Speed,EmotionLabel
0.72,0.85,0.68,0.55,0.60,0.40,0.62,0.50,Happy
0.65,0.78,0.55,0.60,0.65,0.35,0.58,0.45,Calm
0.40,0.45,0.85,0.30,0.35,0.55,0.30,0.80,Stressed
0.35,0.40,0.70,0.25,0.30,0.60,0.28,0.75,Anxious
0.30,0.50,0.25,0.50,0.55,0.70,0.40,0.30,Sad
0.75,0.88,0.65,0.60,0.65,0.38,0.60,0.52,Happy
0.68,0.80,0.50,0.58,0.62,0.42,0.55,0.48,Calm
0.45,0.48,0.90,0.28,0.32,0.58,0.25,0.82,Stressed
0.38,0.42,0.75,0.26,0.34,0.60,0.27,0.78,Anxious
0.32,0.55,0.22,0.52,0.58,0.72,0.45,0.35,Sad
